model,accuracy,f1_weighted,f1_macro,precision,recall,mae
Baseline (Original),0.5652173913043478,0.564154496583726,0.429096702305425,0.5681880625867303,0.5652173913043478,0.657608695652174
GB + Phase1,0.532608695652174,0.560382041863308,0.40304552787103676,0.633255711819918,0.532608695652174,0.7445652173913043
XGBoost + Phase1,0.5217391304347826,0.5566190961123212,0.3906688973572513,0.6307259930620214,0.5217391304347826,0.7934782608695652
RF + Phase1,0.532608695652174,0.5564701726702918,0.41206428274921425,0.6515872035573123,0.532608695652174,0.75
