model,accuracy,f1_weighted,f1_macro,precision,recall,mae
XGBoost Ordinal Weights,0.5815217391304348,0.5862883493318277,0.45131282015379054,0.5933807134894092,0.5815217391304348,0.592391304347826
GB Aggressive Weights,0.5652173913043478,0.5676964891564275,0.4204921987671897,0.5779163114521171,0.5652173913043478,0.6358695652173914
Baseline GB,0.5652173913043478,0.564154496583726,0.429096702305425,0.5681880625867303,0.5652173913043478,0.657608695652174
RF Ordinal Weights,0.5597826086956522,0.5554933242285912,0.3908615414037101,0.5545634920634921,0.5597826086956522,0.6032608695652174
